집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220401,101 ,0,1,8447,190,591,395,81,80,9784,
20220401,101 ,0,2,83600,2547,7685,1836,1075,3309,100052,
20220401,101 ,1,1,7831,257,431,557,117,836,10029,
20220401,101 ,1,2,84317,3005,8094,2396,1530,3454,102796,
20220401,190 ,0,1,5135,242,814,628,145,78,7042,
20220401,190 ,0,2,62096,3006,2142,1895,1986,2403,73528,
20220401,190 ,1,1,5146,234,621,608,148,531,7288,
20220401,190 ,1,2,54861,2895,2162,2182,2190,2301,66591,
20220401,253 ,0,1,8520,217,837,602,159,85,10420,
20220401,253 ,0,2,83506,2646,1875,2267,2427,4018,96739,
20220401,253 ,1,1,7115,280,771,714,184,894,9958,
20220401,253 ,1,2,80659,2963,1897,2662,3246,4057,95484,
20220401,254 ,0,1,3642,185,642,614,228,69,5380,
20220401,254 ,0,2,37645,1778,951,1407,2907,2034,46722,
20220401,254 ,1,1,3561,175,558,654,189,459,5596,
20220401,254 ,1,2,36707,1641,916,1176,2619,2087,45146,
20220401,651 ,0,1,4460,57,101,117,31,55,4821,
20220401,651 ,0,2,41516,825,782,498,543,1777,45941,
20220401,651 ,1,1,3349,70,214,100,31,407,4171,
20220401,651 ,1,2,32589,823,790,446,473,1601,36722,
20220401,685 ,0,1,2695,163,721,689,400,48,4716,
20220401,685 ,0,2,22853,1295,1067,1320,4215,1064,31814,
20220401,685 ,1,1,2323,197,609,603,240,280,4252,
20220401,685 ,1,2,22739,1419,1006,1276,4060,1118,31618,
20220402,101 ,0,1,9622,115,310,190,47,60,10344,
20220402,101 ,0,2,83885,1461,6085,1061,596,2667,95755,
20220402,101 ,1,1,8538,158,213,299,53,847,10108,
20220402,101 ,1,2,78321,1848,6228,1480,870,2702,91449,
20220402,190 ,0,1,6276,105,349,233,46,63,7072,
20220402,190 ,0,2,63933,1285,1318,711,939,2081,70267,
20220402,190 ,1,1,6239,122,231,324,68,624,7608,
20220402,190 ,1,2,58791,1439,1470,1060,1251,2007,66018,
20220402,253 ,0,1,9541,102,351,230,76,56,10356,
20220402,253 ,0,2,80778,1148,734,760,1418,3375,88213,
20220402,253 ,1,1,8264,137,322,349,88,874,10034,
20220402,253 ,1,2,75357,1240,744,1109,1880,3253,83583,
20220402,254 ,0,1,4588,80,309,262,73,41,5353,
20220402,254 ,0,2,39460,758,552,668,1177,1836,44451,
20220402,254 ,1,1,4131,86,234,301,86,472,5310,
20220402,254 ,1,2,37527,741,503,626,1193,1848,42438,
20220402,651 ,0,1,5307,48,41,83,15,37,5531,
20220402,651 ,0,2,46040,422,620,294,261,1578,49215,
20220402,651 ,1,1,4473,42,80,63,8,398,5064,
20220402,651 ,1,2,37711,402,617,245,191,1394,40560,
20220402,685 ,0,1,3420,56,295,203,191,25,4190,
20220402,685 ,0,2,24605,387,592,540,2134,936,29194,
20220402,685 ,1,1,2972,69,277,258,111,300,3987,
20220402,685 ,1,2,23058,416,558,631,2243,908,27814,
20220403,101 ,0,1,9029,67,198,134,24,56,9508,
20220403,101 ,0,2,78822,881,5251,890,264,2578,88686,
20220403,101 ,1,1,8660,100,142,180,34,829,9945,
20220403,101 ,1,2,77964,938,5695,1213,379,2484,88673,
20220403,190 ,0,1,4946,92,189,141,16,34,5418,
20220403,190 ,0,2,53978,727,1238,547,269,1839,58598,
20220403,190 ,1,1,6333,85,106,129,22,583,7258,
20220403,190 ,1,2,59552,526,1097,589,277,1884,63925,
20220403,253 ,0,1,8812,59,231,95,25,41,9263,
20220403,253 ,0,2,73751,692,451,451,481,3180,79006,
20220403,253 ,1,1,8600,75,103,137,46,824,9785,
20220403,253 ,1,2,74732,622,412,516,444,3016,79742,
20220403,254 ,0,1,4099,41,111,105,26,27,4409,
20220403,254 ,0,2,32955,357,365,293,342,1545,35857,
20220403,254 ,1,1,4017,42,70,76,11,487,4703,
20220403,254 ,1,2,33444,262,394,212,288,1528,36128,
20220403,651 ,0,1,4148,27,29,29,11,29,4273,
20220403,651 ,0,2,34423,207,565,141,76,1256,36668,
20220403,651 ,1,1,5190,41,41,56,8,437,5773,
20220403,651 ,1,2,42985,229,531,165,60,1406,45376,
20220403,685 ,0,1,2876,30,114,93,53,15,3181,
20220403,685 ,0,2,21158,203,484,261,545,888,23539,
20220403,685 ,1,1,3201,34,62,88,35,322,3742,
20220403,685 ,1,2,25040,200,411,292,475,849,27267,
20220404,101 ,0,1,8252,169,551,453,97,84,9606,
20220404,101 ,0,2,79561,2470,7416,1822,1056,3279,95604,
20220404,101 ,1,1,7628,228,414,517,124,857,9768,
20220404,101 ,1,2,81416,2887,7782,2248,1435,3476,99244,
20220404,190 ,0,1,4707,220,805,727,126,89,6674,
20220404,190 ,0,2,53426,2985,2146,2101,1987,2238,64883,
20220404,190 ,1,1,5011,205,589,527,127,535,6994,
20220404,190 ,1,2,50923,2884,2167,1967,2065,2186,62192,
20220404,253 ,0,1,7590,206,799,601,142,77,9415,
20220404,253 ,0,2,77890,2619,1838,2374,2383,4018,91122,
20220404,253 ,1,1,6494,245,721,641,187,744,9032,
20220404,253 ,1,2,72621,2696,1882,2392,2980,3639,86210,
20220404,254 ,0,1,3630,168,628,731,269,62,5488,
20220404,254 ,0,2,36805,1847,1000,1519,2988,2102,46261,
20220404,254 ,1,1,3357,167,546,560,196,389,5215,
20220404,254 ,1,2,34162,1571,862,1035,2612,1975,42217,
20220404,651 ,0,1,3354,86,187,104,26,51,3808,
20220404,651 ,0,2,30536,757,766,477,433,1567,34536,
20220404,651 ,1,1,3331,84,207,113,26,378,4139,
20220404,651 ,1,2,33294,762,762,458,387,1681,37344,
20220404,685 ,0,1,2550,164,773,704,402,45,4638,
20220404,685 ,0,2,18905,1203,976,1369,4021,883,27357,
20220404,685 ,1,1,2246,211,620,565,260,264,4166,
20220404,685 ,1,2,20644,1418,980,1219,3883,1006,29150,
20220405,101 ,0,1,7907,160,600,444,91,64,9266,
20220405,101 ,0,2,77167,2581,7341,2034,1206,3140,93469,
20220405,101 ,1,1,7195,271,457,621,118,757,9419,
20220405,101 ,1,2,78272,3068,7683,2704,1654,3147,96528,
20220405,190 ,0,1,4448,220,875,732,125,78,6478,
20220405,190 ,0,2,51445,3146,2233,2173,2124,2173,63294,
20220405,190 ,1,1,4782,243,666,721,163,510,7085,
20220405,190 ,1,2,49790,3183,2272,2456,2389,2095,62185,
20220405,253 ,0,1,7413,218,898,685,175,108,9497,
20220405,253 ,0,2,76098,2847,1952,2565,2751,3877,90090,
20220405,253 ,1,1,6490,264,710,809,206,760,9239,
20220405,253 ,1,2,72769,2926,1932,2879,3410,3740,87656,
20220405,254 ,0,1,3384,164,667,755,250,64,5284,
20220405,254 ,0,2,34803,1876,999,1608,3105,1970,44361,
20220405,254 ,1,1,3228,173,607,729,256,402,5395,
20220405,254 ,1,2,34071,1703,958,1289,2796,1929,42746,
20220405,651 ,0,1,3316,75,190,139,32,45,3797,
20220405,651 ,0,2,30242,847,784,507,570,1508,34458,
